route_long_name,route_short_name,agency_id,route_type,route_id
BEML Layout 5th stage ⇔ Kempegowda Bus Station,225-C BEMLLO-KMT-KBS,1,3,1jn
BEML Layout 5th stage ⇔ Kempegowda Bus Station,225-C FLY,1,3,1lt
BEML Layout 5th stage ⇔ Kempegowda International Airport,KIA-17,1,3,fk
BEML Layout 5th stage ⇔ Kumaraswamy Layout West,BEML5-KSLOW,1,3,17x
BEML Layout 5th stage ⇔ Manganahalli,234 BEML5-MGH,1,3,23j
BEML Layout 5th stage ⇔ Mayasandra,227-A BEML5-MYS,1,3,2xw
BEML Layout 5th stage ⇔ Mysore Road Bus Station,225-C BEML5-MRBS,1,3,11g
BEML Layout 5th stage ⇔ Rajarajeshwari nagara Metro Station,MF-14 BEML5-RRMS,1,3,19v
BEML Layout 5th stage ⇔ Shanthinagara Bus Station,G-6 BEML5-SNBS,1,3,1yy
BEML Layout 5th stage ⇔ Shirke KHB Quarters,BEML5-KHBQ,1,3,y7
BEML Layout 5th stage ⇔ Shobha Hills View Apartment,212-C BEML5-SHVA,1,3,25n
BEML Layout 5th stage ⇔ Yelahanka Old Town,401-R,1,3,2nm
BHEL Layout Maramma Temple ⇔ Kempegowda Bus Station,225-K BHELMT-KMT-KBS,1,3,31g
BMSIT College Campous Yelahanka ⇔ Shivajinagara Bus Station,285 BMSITY-MKC-SBS,1,3,2pb
BMSIT College Campous Yelahanka ⇔ Yelahanka Old Town,285 BMSITY-YHKOT,1,3,1kb
BSF Yalahanka ⇔ Shivajinagara Bus Station,291-LA BSF-SBS,1,3,1ah
BTM Layout Water Tank ⇔ Shivajinagara Bus Station,27 BTT-VSD-SBS,1,3,2y2
Babusabpalya 302 ⇔ Depot-23 Kalyana Nagara,BBSP-D23,1,3,2xq
Bagalur ⇔ Jalahalli Cross,401-BJ,1,3,3o
Bagalur ⇔ Krishnaraja Pura Govt Hospital,507-G,1,3,23s
Bagalur ⇔ Krishnaraja Pura Govt Hospital,507-GA,1,3,23m
Bagalur ⇔ Pottery Town,G-11 BGL-PTW,1,3,6e
Bagmane Tech Park (Graphite India) ⇔ Chowdeshwarinagara JP Park,500-Q BTPG-CJP,1,3,2aa
Bagmane Tech Park ⇔ Swamy Vivekananda Metro Station,BTP-SVM,1,3,2px
Balluru ⇔ Depot-38 Gate,360-C D38G-BLR,1,3,2xr
Banashankari Bus Station ⇔ 9th Block Jayanagara (40th Cross),BSK-JNN,1,3,1fu
Banashankari Bus Station ⇔ Anekal,600-CA,1,3,2np
Banashankari Bus Station ⇔ Anjanapura,MF-215BB,1,3,22b
Banashankari Bus Station ⇔ Attibele Bus Stand,600-F,1,3,22v
Banashankari Bus Station ⇔ Attibele Bus Stand,600-F FLYOVER,1,3,o0
Banashankari Bus Station ⇔ BEL Circle,500-BC,1,3,35
Banashankari Bus Station ⇔ BEL Factory,500-A BSK-BELF,1,3,2so
Banashankari Bus Station ⇔ BEL Factory,501-BH BSK-BELF,1,3,22w
Banashankari Bus Station ⇔ Banashankari Bus Station,MF-510,1,3,25z
Banashankari Bus Station ⇔ Banashankari Bus Station,MF-510A,1,3,iu
Banashankari Bus Station ⇔ Banjarapalya,BSK-BJP,1,3,16b
Banashankari Bus Station ⇔ Bhuvaneshwari Nagara,45-B BSK-BVN,1,3,qn
Banashankari Bus Station ⇔ Bidadi,211-NA,1,3,11s
Banashankari Bus Station ⇔ Bidadi,375-G,1,3,10l
Banashankari Bus Station ⇔ Binnamangala,201-G BSK-BNM,1,3,2cd
Banashankari Bus Station ⇔ Bommasandra Canara Bank,600-F BSK-BOMC,1,3,1wz
Banashankari Bus Station ⇔ Bristol Quarters,201-RB BSKTTMC-BTLQT,1,3,25t
Banashankari Bus Station ⇔ Chandapura,600-C,1,3,2by
Banashankari Bus Station ⇔ Chandra Nagara,210-X BSK-CNDRN,1,3,99
Banashankari Bus Station ⇔ Channammanakere Achukattu,45-F BSK-CKA,1,3,10q
Banashankari Bus Station ⇔ Chikka Thirupathi,500-CF,1,3,2jb
Banashankari Bus Station ⇔ Concorde Napa Valley,MF-211AC BSK-CNV,1,3,22m
Banashankari Bus Station ⇔ Depot-10 Gate,500-A BSK-D10G,1,3,2nc
Banashankari Bus Station ⇔ Depot-32 Suryacity,600-F BSK-D32,1,3,kq
Banashankari Bus Station ⇔ Devanagondi,506,1,3,2qz
Banashankari Bus Station ⇔ Dodda Maralawadi,213-WA,1,3,zg
Banashankari Bus Station ⇔ Electronic City,378-E,1,3,nf
Banashankari Bus Station ⇔ Electronic City East Phase-II,600-QA,1,3,203
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CF,1,3,18t
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CF UFLY,1,3,2kb
Banashankari Bus Station ⇔ Electronic City Wipro Main Gate,600-CK,1,3,r0
Banashankari Bus Station ⇔ Girinagara Extension,36-B BSK-GNE,1,3,gl
Banashankari Bus Station ⇔ Gundanjaneya Swamy Temple Ravagodlu,213-B,1,3,2xs
Banashankari Bus Station ⇔ Guttepalya,214-DA,1,3,2ny
Banashankari Bus Station ⇔ HAL Main Gate,201 BSK-HAL,1,3,x3
Banashankari Bus Station ⇔ HAL Main Gate,411-A BSK-HAL,1,3,1lq
Banashankari Bus Station ⇔ Harohalli,213-V,1,3,fv
Banashankari Bus Station ⇔ Head Start School Kommasandra,500-CF BSK-HSS,1,3,1rq
Banashankari Bus Station ⇔ Hebbala Bridge,500-A,1,3,t0
Banashankari Bus Station ⇔ Hebbala Bridge,501-A,1,3,181
Banashankari Bus Station ⇔ Hebbala Bridge,501-BH,1,3,7v
Banashankari Bus Station ⇔ Hebbala Bridge,V-500A,1,3,ln
Banashankari Bus Station ⇔ Hoskerehalli Kerekodi,43-C BSK-MNKK,1,3,1np
Banashankari Bus Station ⇔ ITPL,500-CA,1,3,2gg
Banashankari Bus Station ⇔ ITPL,V-500CA,1,3,7
Banashankari Bus Station ⇔ Jalahalli Cross,MF-410K,1,3,1zx
Banashankari Bus Station ⇔ Jambu Savari Dinne,215-H BSK-JSD,1,3,1li
Banashankari Bus Station ⇔ Jambu Savari Dinne,MF-15 BSK-JSD,1,3,na
