stop_name,stop_id,stop_lat,stop_lon
Rock Colony,5bn,12.72252,77.50242
Rock Colony,yd,12.72256,77.50237
Rock Line Studio,1r1,13.04055,77.49628
Rock Line Studio,5zl,13.0406,77.49634
Rolling Mill,3iy,13.02653,77.51474
Rolling Mill,4em,13.02648,77.51486
Roopena Agrahara,195,12.91185,77.626
Roopena Agrahara,3ui,12.91158,77.62579
Roopena Agrahara,6df,12.91197,77.62613
Roopena Agrahara FLY,42l,12.91212,77.62589
Roopena Agrahara FLY,5rl,12.9116,77.62604
Roopena Agrahara Toll,6as,12.91166,77.62617
Royal Enclave,2us,13.06572,77.61698
Royal Enclave,5ba,13.06575,77.61693
Royal Layout,28n,12.86933,77.57581
Royal Layout,3eh,12.86924,77.57581
Royal Meenakshi Mall,1lv,12.87642,77.59564
Royal Meenakshi Mall BG Road,4or,12.8765,77.59615
Rukmini Nagara,1dv,13.041,77.50488
Rukmini Nagara,4x7,13.04099,77.50482
Rupesh Hotel,41j,12.81165,77.66601
Rupesh Hotel,4qb,12.81176,77.66589
Russell Market,3f6,12.98486,77.60518
Ryan International School,3lz,12.81955,77.58483
Ryan International School,5zy,12.81953,77.58473
S Gollahalli,4j9,12.89388,77.36136
S Gollahalli,ww,12.89375,77.36146
S Medahalli,1q9,12.82387,77.78611
S Medahalli,4pf,12.82365,77.78618
S Nagenahalli Gate,108,13.37149,77.55778
S R S Mathikere,34i,13.06144,77.53109
S R S Mathikere,3e6,13.06145,77.53112
SAP Labs,112,12.9778,77.7144
SAP Labs,23j,12.97765,77.71448
SBI Bank,1y6,13.07237,77.5461
SBI Bank,582,13.07239,77.54625
SBM Gayathri Nagara,4zm,12.99991,77.5604
SBM Gayathri Nagara,sc,12.99993,77.56035
SEZ Amadada Circle,55g,13.17849,77.72023
SFS High School Hebbagodi,33w,12.83381,77.6802
SFS High School Hebbagodi,35w,12.83342,77.6801
SI Apartment HSR Layout,396,12.91668,77.6294
SI Apartment HSR Layout,cw,12.91677,77.62942
SJES College,3gw,13.023,77.715
SJES College,4mt,13.02393,77.71589
SKF Factory,19y,13.06116,77.74189
SKF Factory,5ak,13.06124,77.74195
SLV Bakery,2m3,12.92127,77.54322
SLV Bakery,50t,12.92117,77.54316
